scoreID,match,team,color
1,1,5667,red
2,1,6436,red
3,1,10337,blue
4,1,7161,blue
5,2,14240,red
6,2,3101,red
7,2,11138,blue
8,2,359,blue
9,3,4641,red
10,3,10641,red
11,3,11053,blue
12,3,8081,blue
13,4,5190,red
14,4,6322,red
15,4,4133,blue
16,4,3409,blue
17,5,12016,red
18,5,12973,red
19,5,7593,blue
20,5,6547,blue
21,6,6929,red
22,6,5119,red
23,6,9761,blue
24,6,12808,blue
25,7,7477,red
26,7,7224,red
27,7,11089,blue
28,7,6220,blue
29,8,11737,red
30,8,14290,red
31,8,4216,blue
32,8,9778,blue
33,9,11256,red
34,9,7105,red
35,9,12670,blue
36,9,4042,blue
37,10,9804,red
38,10,8651,red
39,10,14210,blue
40,10,9441,blue
41,11,5214,red
42,11,8372,red
43,11,14241,blue
44,11,5110,blue
45,12,7776,red
46,12,408,red
47,12,12993,blue
48,12,6109,blue
49,13,8375,red
50,13,11104,red
51,13,5815,blue
52,13,12499,blue
53,14,7209,red
54,14,12503,red
55,14,10219,blue
56,14,5009,blue
57,15,7802,red
58,15,11411,red
59,15,9662,blue
60,15,14217,blue
61,16,417,red
62,16,4602,red
63,16,5220,blue
64,16,9048,blue
65,17,7161,red
66,17,6929,red
67,17,7593,blue
68,17,4641,blue
69,18,11053,red
70,18,5667,red
71,18,11089,blue
72,18,4042,blue
73,19,9441,red
74,19,7224,red
75,19,11256,blue
76,19,359,blue
77,20,10337,red
78,20,14210,red
79,20,5214,blue
80,20,14240,blue
81,21,6322,red
82,21,6109,red
83,21,9761,blue
84,21,14241,blue
85,22,8081,red
86,22,12499,red
87,22,12503,blue
88,22,12016,blue
89,23,10641,red
90,23,7105,red
91,23,5190,blue
92,23,8651,blue
93,24,5815,red
94,24,9778,red
95,24,7776,blue
96,24,4602,blue
97,25,6547,red
98,25,11104,red
99,25,9804,blue
100,25,9662,blue
101,26,7477,red
102,26,7209,red
103,26,12993,blue
104,26,6436,blue
105,27,12973,red
106,27,10219,red
107,27,6220,blue
108,27,14290,blue
109,28,4216,red
110,28,11138,red
111,28,14217,blue
112,28,8372,blue
113,29,12670,red
114,29,12808,red
115,29,8375,blue
116,29,7802,blue
117,30,11411,red
118,30,408,red
119,30,5009,blue
120,30,5220,blue
121,31,9048,red
122,31,3409,red
123,31,5119,blue
124,31,3101,blue
125,32,417,red
126,32,4133,red
127,32,5110,blue
128,32,11737,blue
129,33,11089,red
130,33,6109,red
131,33,11104,blue
132,33,5190,blue
133,34,11053,red
134,34,9778,red
135,34,14210,blue
136,34,7105,blue
137,35,9761,red
138,35,12503,red
139,35,10641,blue
140,35,5214,blue
141,36,8372,red
142,36,6547,red
143,36,14240,blue
144,36,7776,blue
145,37,7224,red
146,37,5667,red
147,37,10219,blue
148,37,5815,blue
149,38,11411,red
150,38,6929,red
151,38,6436,blue
152,38,9441,blue
153,39,6220,red
154,39,3101,red
155,39,12016,blue
156,39,4216,blue
157,40,8081,red
158,40,12973,red
159,40,7477,blue
160,40,11138,blue
161,41,14217,red
162,41,408,red
163,41,14241,blue
164,41,417,blue
165,42,9048,red
166,42,4133,red
167,42,8375,blue
168,42,9662,blue
169,43,9804,red
170,43,12993,red
171,43,5009,blue
172,43,11256,blue
173,44,12670,red
174,44,4602,red
175,44,359,blue
176,44,4641,blue
177,45,5220,red
178,45,11737,red
179,45,7209,blue
180,45,12808,blue
181,46,14290,red
182,46,4042,red
183,46,7161,blue
184,46,7802,blue
185,47,12499,red
186,47,3409,red
187,47,8651,blue
188,47,5110,blue
189,48,10337,red
190,48,6322,red
191,48,7593,blue
192,48,5119,blue
193,49,6109,red
194,49,6436,red
195,49,3101,blue
196,49,5815,blue
197,50,8375,red
198,50,11411,red
199,50,11053,blue
200,50,7224,blue
201,51,5667,red
202,51,5190,red
203,51,7477,blue
204,51,5009,blue
205,52,11138,red
206,52,9761,red
207,52,9048,blue
208,52,7105,blue
209,53,14241,red
210,53,4641,red
211,53,11104,blue
212,53,11737,blue
213,54,12808,red
214,54,11089,red
215,54,9778,blue
216,54,408,blue
217,55,417,red
218,55,359,red
219,55,12016,blue
220,55,4042,blue
221,56,6547,red
222,56,12503,red
223,56,6929,blue
224,56,3409,blue
225,57,14290,red
226,57,9441,red
227,57,10337,blue
228,57,8372,blue
229,58,5110,red
230,58,9804,red
231,58,4602,blue
232,58,10219,blue
233,59,8081,red
234,59,14210,red
235,59,12993,blue
236,59,9662,blue
237,60,12973,red
238,60,8651,red
239,60,14217,blue
240,60,5214,blue
241,61,5119,red
242,61,5220,red
243,61,7802,blue
244,61,4216,blue
245,62,7209,red
246,62,11256,red
247,62,12499,blue
248,62,7161,blue
249,63,4133,red
250,63,7776,red
251,63,7593,blue
252,63,6220,blue
253,64,14240,red
254,64,12670,red
255,64,10641,blue
256,64,6322,blue
257,65,4641,red
258,65,6547,red
259,65,9778,blue
260,65,7224,blue
261,66,11737,red
262,66,9761,red
263,66,9441,blue
264,66,7477,blue
265,67,9662,red
266,67,3409,red
267,67,14290,blue
268,67,11053,blue
269,68,4042,red
270,68,10219,red
271,68,6929,blue
