match,team,color,autoglyphs,jewel,key,autopark,cipher,rows,columns,glyphs,balanced,zone1relics,zone2relics,zone3relics,standingRelics
1,10337,blue,1,0,1,1,0,1,1,7,0,0,0,0,0
1,7161,blue,2,1,1,1,0,4,3,12,1,0,0,2,1
2,14240,red,0,1,1,1,2,4,3,12,0,0,0,2,1
2,11138,blue,1,1,1,1,0,2,1,9,0,0,0,0,0
2,359,blue,0,1,0,1,0,1,0,3,0,0,0,0,0
3,4641,red,0,0,0,0,0,0,0,0,1,0,0,0,0
3,11053,blue,1,1,1,1,1,4,3,13,0,0,0,1,1
3,8081,blue,1,1,1,1,0,1,0,3,0,0,0,1,2
4,5190,red,1,1,1,1,0,1,0,3,0,0,0,0,0
4,4133,blue,2,1,1,1,0,1,2,9,0,0,0,0,0
