match,team,color,autoglyphs,jewel,key,autopark,cipher,rows,columns,glyphs,balanced,zone1relics,zone2relics,zone3relics,standingRelics
1,5667,red,2,1,1,1,1,4,3,12,0,0,0,2,1
1,6436,red,1,0,1,1,0,1,1,7,0,0,0,0,0
1,10337,blue,2,1,1,1,0,4,3,12,1,0,0,2,1
1,7161,blue,0,1,1,1,2,4,3,12,0,0,0,2,1
2,14240,red,0,0,0,0,0,0,0,4,0,0,0,0,0
2,3101,red,1,1,1,1,0,2,1,9,0,0,0,0,0
2,11138,blue,0,1,0,1,0,1,0,3,0,0,0,0,0
2,359,blue,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4641,red,0,0,0,0,0,0,0,0,1,0,0,0,0
3,10641,red,1,1,1,1,1,4,3,13,0,0,0,1,1
3,11053,blue,1,1,1,1,0,1,0,3,0,0,0,1,2
3,8081,blue,1,1,1,1,0,1,0,3,0,0,0,0,0
4,5190,red,1,0,1,1,0,1,0,3,0,0,0,0,0
4,6322,red,2,1,1,1,0,1,2,9,0,0,0,0,0
4,4133,blue,0,1,1,1,0,0,2,8,0,0,0,1,2
4,3409,blue,2,1,1,1,0,4,3,12,1,0,0,0,0
5,12016,red,1,1,0,1,0,1,0,3,0,0,0,1,1
5,12973,red,1,1,0,1,0,4,3,14,0,0,0,0,0
5,7593,blue,0,0,0,1,0,1,0,3,0,0,1,0,1
5,6547,blue,1,0,1,1,0,1,2,9,1,0,0,0,0
6,6929,red,0,1,0,1,2,5,4,13,0,0,1,1,2
6,5119,red,1,1,1,1,0,2,2,10,1,0,0,0,0
6,9761,blue,1,1,1,1,0,1,2,10,0,0,0,0,0
6,12808,blue,2,1,1,0,1,4,3,12,1,0,0,0,0
7,7477,red,0,1,0,1,1,4,3,12,0,0,2,0,0
7,7224,red,1,-1,0,1,0,1,0,4,1,0,0,0,0
7,11089,blue,1,1,1,1,1,4,3,12,1,0,0,0,0
7,6220,blue,1,1,1,1,1,4,3,12,1,0,0,0,0
8,11737,red,0,1,0,1,0,0,0,0,0,0,0,0,0
8,14290,red,0,0,0,1,0,0,0,0,0,0,0,0,0
8,4216,blue,3,1,1,1,0,4,5,18,0,0,0,1,2
8,9778,blue,1,1,1,1,0,4,3,12,1,0,0,0,0
9,11256,red,0,0,0,0,0,0,0,0,1,0,0,0,0
9,7105,red,1,1,1,1,1,4,3,12,0,0,0,0,0
9,12670,blue,0,1,0,0,1,4,3,12,0,0,0,1,2
9,4042,blue,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9804,red,1,1,0,1,0,3,2,11,0,0,0,0,0
10,8651,red,1,-1,1,1,0,1,1,7,0,0,0,1,1
10,14210,blue,2,0,1,1,0,1,2,10,0,0,0,0,0
10,9441,blue,1,1,1,1,1,4,3,12,0,0,0,0,0
11,5214,red,1,1,1,1,0,2,1,8,0,0,0,0,0
11,8372,red,1,1,0,1,0,2,2,9,0,0,0,0,0
11,14241,blue,1,1,0,1,1,4,3,12,0,0,1,0,1
11,5110,blue,0,1,0,1,0,2,0,7,0,0,0,0,0
12,7776,red,0,1,0,0,1,4,3,12,1,0,0,0,0
12,408,red,1,0,1,1,0,4,3,12,0,0,0,2,2
12,12993,blue,1,1,1,1,1,4,3,12,0,0,0,0,0
12,6109,blue,0,1,0,0,0,0,0,0,0,0,0,0,0
13,8375,red,1,1,1,1,0,2,1,8,0,0,0,0,0
13,11104,red,1,1,1,1,0,2,2,10,0,0,1,0,1
13,5815,blue,1,1,1,1,0,1,0,6,0,0,0,0,0
13,12499,blue,1,1,1,1,0,1,0,5,0,0,0,0,0
14,7209,red,2,1,1,1,1,4,3,12,1,0,0,2,1
14,12503,red,1,1,1,1,0,1,1,6,0,0,0,0,0
14,10219,blue,1,1,1,1,0,2,1,7,0,0,0,0,0
14,5009,blue,1,0,1,1,0,3,2,11,1,0,0,0,0
15,7802,red,1,1,0,0,0,2,1,11,1,0,0,0,0
15,11411,red,0,1,0,1,0,1,1,8,0,0,0,1,0
15,9662,blue,1,0,1,1,1,4,3,12,0,0,0,0,0
15,14217,blue,0,0,0,0,0,0,0,4,0,0,0,0,0
16,417,red,1,0,1,1,0,2,1,9,0,0,0,0,0
16,4602,red,0,1,0,0,0,1,0,4,1,0,0,0,0
16,5220,blue,2,0,1,1,0,0,0,6,0,0,0,0,0
16,9048,blue,2,1,1,1,0,2,2,10,0,0,0,0,0
